event_label,event_year,player_name,position,club,source_url
2010 AFF Suzuki Cup,2010,Neil Etheridge,GK,Fulham,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Rob Gier,DF,Ascot United,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Anton del Rosario,DF,Kaya,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Roel Gener,MF,Philippine Army,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,James Younghusband,FW,Farnborough,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Yanti Barsales,FW,Philippine Air Force,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Phil Younghusband,FW,San Beda,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Aly Borromeo,DF,Kaya,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Emelio Caligdong,FW,Philippine Air Force,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Mark Ferrer,MF,Philippine Air Force,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Rey Palmes,MF,Philippine Air Force,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Jason de Jong,MF,Veendam,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Chris Greatwich,MF,Morris County Colonials,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Nestorio Margarse,MF,Philippine Army,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Peter Jaugan,FW,Philippine Air Force,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Eduard Sacapaño,GK,Philippine Army,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Ian Araneta,FW,Philippine Air Force,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Joebel Bermejo,DF,Philippine Air Force,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,David Basa,DF,University of Santo Tomas,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Ray Jónsson,DF,Grindavík,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Kristopher Relucio,DF,Laos,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
